"","Name","Event","Year","Date","Elo","dElo"
"37099","Paul McBeth","Aussie",2017,2017-01-26,1795.3,1.3
"37202","Eagle McMahon","Aussie",2017,2017-01-26,1678.3,14.4
"37206","Richard Wysocki","Aussie",2017,2017-01-26,1780,7.1
"37635","Simon Lizotte","LVC",2017,2017-02-23,1700.4,6.8
"37658","Nikko Locastro","LVC",2017,2017-02-23,1727.2,3
"37683","James Conrad","LVC",2017,2017-02-23,1606.4,18.6
"37691","Nate Sexton","LVC",2017,2017-02-23,1718.5,7.8
"37751","Paul McBeth","LVC",2017,2017-02-23,1803.1,7.8
"37854","Eagle McMahon","LVC",2017,2017-02-23,1690.9,12.6
"37858","Richard Wysocki","LVC",2017,2017-02-23,1787.2,7.3
"37957","Drew Gibson","LVC",2017,2017-02-23,1685.2,0.1
"38203","Joel Freeman","LVC",2017,2017-02-23,1567.2,19.2
"38287","Simon Lizotte","Memorial",2017,2017-03-01,1713.5,13.1
"38310","Nikko Locastro","Memorial",2017,2017-03-01,1731.5,4.3
"38335","James Conrad","Memorial",2017,2017-03-01,1620,13.6
"38340","Matthew Orum","Memorial",2017,2017-03-01,1678.4,8
"38343","Nate Sexton","Memorial",2017,2017-03-01,1726.6,8
"38403","Paul McBeth","Memorial",2017,2017-03-01,1810,6.9
"38506","Eagle McMahon","Memorial",2017,2017-03-01,1703.1,12.2
"38510","Richard Wysocki","Memorial",2017,2017-03-01,1793.5,6.2
"38609","Drew Gibson","Memorial",2017,2017-03-01,1697.6,12.4
"38855","Joel Freeman","Memorial",2017,2017-03-01,1581.5,14.3
"38939","Simon Lizotte","Jonesboro",2017,2017-04-13,1724.6,11.1
"38962","Nikko Locastro","Jonesboro",2017,2017-04-13,1740.2,8.7
"38987","James Conrad","Jonesboro",2017,2017-04-13,1638.1,18.1
"39162","Richard Wysocki","Jonesboro",2017,2017-04-13,1799.1,5.6
"39261","Drew Gibson","Jonesboro",2017,2017-04-13,1704.6,7.1
"39439","Chris Dickerson","Jonesboro",2017,2017-04-13,1640.2,18.5
"39451","Andrew Presnell","Jonesboro",2017,2017-04-13,1555,17.2
"39591","Simon Lizotte","DDO",2017,2017-04-27,1730.3,5.7
"39614","Nikko Locastro","DDO",2017,2017-04-27,1742.3,2.1
"39639","James Conrad","DDO",2017,2017-04-27,1646.3,8.2
"39644","Matthew Orum","DDO",2017,2017-04-27,1683.7,5.3
"39647","Nate Sexton","DDO",2017,2017-04-27,1732.8,6.2
"39707","Paul McBeth","DDO",2017,2017-04-27,1814.5,4.5
"39810","Eagle McMahon","DDO",2017,2017-04-27,1706.2,3.1
"39814","Richard Wysocki","DDO",2017,2017-04-27,1802.5,3.4
"39891","Calvin Heimburg","DDO",2017,2017-04-27,1581.2,9.4
"39913","Drew Gibson","DDO",2017,2017-04-27,1706.8,2.1
"39933","Chris Clemons","DDO",2017,2017-04-27,1586,15.2
"40103","Andrew Presnell","DDO",2017,2017-04-27,1567,12.1
"40159","Joel Freeman","DDO",2017,2017-04-27,1588.3,6.8
"40266","Nikko Locastro","Masters Cup",2017,2017-05-19,1739.9,-2.5
"40299","Nate Sexton","Masters Cup",2017,2017-05-19,1732.6,-0.2
"40359","Paul McBeth","Masters Cup",2017,2017-05-19,1820.7,6.2
"40466","Richard Wysocki","Masters Cup",2017,2017-05-19,1803.3,0.8
"40565","Drew Gibson","Masters Cup",2017,2017-05-19,1701.3,-5.5
"41011","Paul McBeth","Beaver",2017,2017-06-09,1825.3,4.6
"41114","Eagle McMahon","Beaver",2017,2017-06-09,1716.6,10.4
"41118","Richard Wysocki","Beaver",2017,2017-06-09,1806.5,3.2
"41195","Calvin Heimburg","Beaver",2017,2017-06-09,1593.1,11.9
"41547","Simon Lizotte","World",2017,2017-06-21,1740,9.7
"41570","Nikko Locastro","World",2017,2017-06-21,1739.9,0
"41595","James Conrad","World",2017,2017-06-21,1658.2,11.9
"41600","Matthew Orum","World",2017,2017-06-21,1693,9.3
"41663","Paul McBeth","World",2017,2017-06-21,1830,4.7
"41766","Eagle McMahon","World",2017,2017-06-21,1721.8,5.2
"41770","Richard Wysocki","World",2017,2017-06-21,1815.1,8.5
"41847","Calvin Heimburg","World",2017,2017-06-21,1615.3,22.2
"41869","Drew Gibson","World",2017,2017-06-21,1705.8,4.5
"41889","Chris Clemons","World",2017,2017-06-21,1608.1,22.1
"42047","Chris Dickerson","World",2017,2017-06-21,1657.8,17.6
"42199","Simon Lizotte","European Open",2017,2017-07-20,1746.3,6.3
"42255","Nate Sexton","European Open",2017,2017-07-20,1737.1,4.4
"42315","Paul McBeth","European Open",2017,2017-07-20,1834.2,4.2
"42418","Eagle McMahon","European Open",2017,2017-07-20,1725.5,3.7
"42422","Richard Wysocki","European Open",2017,2017-07-20,1811.2,-3.9
"42851","Simon Lizotte","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1755.9,9.6
"42874","Nikko Locastro","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1735.5,-4.4
"42899","James Conrad","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1673.7,15.5
"42907","Nate Sexton","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1740.3,3.2
"42967","Paul McBeth","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1841.1,6.9
"43070","Eagle McMahon","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1730.7,5.2
"43074","Richard Wysocki","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1815.9,4.7
"43136","Corey Ellis","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1509.5,10.6
"43173","Drew Gibson","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1708.4,2.5
"43351","Chris Dickerson","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1672,14.2
"43363","Andrew Presnell","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1585.1,18.1
"43503","Simon Lizotte","USDGC",2017,2017-10-04,1761,5.1
"43526","Nikko Locastro","USDGC",2017,2017-10-04,1725.7,-9.8
"43551","James Conrad","USDGC",2017,2017-10-04,1674.4,0.7
"43559","Nate Sexton","USDGC",2017,2017-10-04,1755.4,15.1
"43619","Paul McBeth","USDGC",2017,2017-10-04,1847,5.9
"43722","Eagle McMahon","USDGC",2017,2017-10-04,1736.2,5.4
"43726","Richard Wysocki","USDGC",2017,2017-10-04,1824.1,8.2
"43764","Kevin Jones","USDGC",2017,2017-10-04,1569.9,38
"43825","Drew Gibson","USDGC",2017,2017-10-04,1712.1,3.7
"43845","Chris Clemons","USDGC",2017,2017-10-04,1629.2,21.1
"43939","Adam Hammes","USDGC",2017,2017-10-04,1572.1,27.1
"44003","Chris Dickerson","USDGC",2017,2017-10-04,1687.8,15.8
"44015","Andrew Presnell","USDGC",2017,2017-10-04,1591.3,6.1
"44155","Simon Lizotte","HOFC",2017,2017-10-13,1764.6,3.6
"44178","Nikko Locastro","HOFC",2017,2017-10-13,1724.5,-1.2
"44203","James Conrad","HOFC",2017,2017-10-13,1684.5,10.1
"44211","Nate Sexton","HOFC",2017,2017-10-13,1753.8,-1.6
"44271","Paul McBeth","HOFC",2017,2017-10-13,1841,-6
"44378","Richard Wysocki","HOFC",2017,2017-10-13,1827.2,3
"44477","Drew Gibson","HOFC",2017,2017-10-13,1707.5,-4.6
"44655","Chris Dickerson","HOFC",2017,2017-10-13,1694.9,7
"44824","Simon Lizotte","LVC",2018,2018-02-22,1744.2,6
"44868","Nikko Locastro","LVC",2018,2018-02-22,1711.8,9.7
"44910","James Conrad","LVC",2018,2018-02-22,1670.6,4.6
"44921","Nate Sexton","LVC",2018,2018-02-22,1732.6,4.1
"45019","Paul McBeth","LVC",2018,2018-02-22,1801.3,-5.6
"45198","Eagle McMahon","LVC",2018,2018-02-22,1724.5,11.9
"45201","Richard Wysocki","LVC",2018,2018-02-22,1797.8,3.4
"45259","Kevin Jones","LVC",2018,2018-02-22,1583.8,20.9
"45385","Drew Gibson","LVC",2018,2018-02-22,1696.6,9.8
"45423","Chris Clemons","LVC",2018,2018-02-22,1630.1,13.8
"45692","Andrew Presnell","LVC",2018,2018-02-22,1595.9,13.8
"45817","Joel Freeman","LVC",2018,2018-02-22,1602.3,22.8
"46329","Simon Lizotte","Memorial",2018,2018-02-28,1756.3,12.2
"46373","Nikko Locastro","Memorial",2018,2018-02-28,1720.2,8.4
"46391","Garrett Gurthie","Memorial",2018,2018-02-28,1548.7,28.4
"46415","James Conrad","Memorial",2018,2018-02-28,1683.1,12.5
"46426","Nate Sexton","Memorial",2018,2018-02-28,1743,10.4
"46524","Paul McBeth","Memorial",2018,2018-02-28,1804.8,3.5
"46703","Eagle McMahon","Memorial",2018,2018-02-28,1737.1,12.6
"46706","Richard Wysocki","Memorial",2018,2018-02-28,1801.8,4
"46764","Kevin Jones","Memorial",2018,2018-02-28,1601.1,17.3
"46890","Drew Gibson","Memorial",2018,2018-02-28,1706.9,10.3
"46928","Chris Clemons","Memorial",2018,2018-02-28,1640.2,10.2
"47197","Andrew Presnell","Memorial",2018,2018-02-28,1606.4,10.5
"47322","Joel Freeman","Memorial",2018,2018-02-28,1610.9,8.6
"47834","Simon Lizotte","Waco",2018,2018-03-15,1756.3,18.2
"47878","Nikko Locastro","Waco",2018,2018-03-15,1725.3,5.1
"47896","Garrett Gurthie","Waco",2018,2018-03-15,1576.4,27.7
"47920","James Conrad","Waco",2018,2018-03-15,1692.5,9.4
"47931","Nate Sexton","Waco",2018,2018-03-15,1750.9,7.9
"48029","Paul McBeth","Waco",2018,2018-03-15,1810,5.2
"48211","Richard Wysocki","Waco",2018,2018-03-15,1805.6,3.8
"48269","Kevin Jones","Waco",2018,2018-03-15,1615.3,14.2
"48395","Drew Gibson","Waco",2018,2018-03-15,1715.8,8.9
"48433","Chris Clemons","Waco",2018,2018-03-15,1651.8,11.6
"48702","Andrew Presnell","Waco",2018,2018-03-15,1621.5,15.1
"48827","Joel Freeman","Waco",2018,2018-03-15,1621.3,10.4
"50906","Garrett Gurthie","Jonesboro",2018,2018-04-06,1601.5,25.1
"50930","James Conrad","Jonesboro",2018,2018-04-06,1703.2,10.7
"50941","Nate Sexton","Jonesboro",2018,2018-04-06,1754.4,3.5
"51039","Paul McBeth","Jonesboro",2018,2018-04-06,1810.9,0.9
"51110","Bradley Williams","Jonesboro",2018,2018-04-06,1680,6.5
"51218","Eagle McMahon","Jonesboro",2018,2018-04-06,1744.8,7.7
"51221","Richard Wysocki","Jonesboro",2018,2018-04-06,1812.7,7.1
"51279","Kevin Jones","Jonesboro",2018,2018-04-06,1628.8,13.5
"51405","Drew Gibson","Jonesboro",2018,2018-04-06,1721.2,5.4
"51443","Chris Clemons","Jonesboro",2018,2018-04-06,1654.9,3.1
"51680","Chris Dickerson","Jonesboro",2018,2018-04-06,1684.6,9.3
"51712","Andrew Presnell","Jonesboro",2018,2018-04-06,1631,9.5
"51837","Joel Freeman","Jonesboro",2018,2018-04-06,1635.7,14.3
"55359","Simon Lizotte","DDO",2018,2018-04-26,1764.8,8.4
"55403","Nikko Locastro","DDO",2018,2018-04-26,1726.1,0.8
"55421","Garrett Gurthie","DDO",2018,2018-04-26,1611.6,10
"55445","James Conrad","DDO",2018,2018-04-26,1706.8,3.6
"55456","Nate Sexton","DDO",2018,2018-04-26,1759.5,5.1
"55554","Paul McBeth","DDO",2018,2018-04-26,1813.3,2.4
"55733","Eagle McMahon","DDO",2018,2018-04-26,1753.6,8.9
"55736","Richard Wysocki","DDO",2018,2018-04-26,1818.2,5.5
"55794","Kevin Jones","DDO",2018,2018-04-26,1643.1,14.3
"55920","Drew Gibson","DDO",2018,2018-04-26,1731,9.7
"55958","Chris Clemons","DDO",2018,2018-04-26,1660.5,5.6
"56195","Chris Dickerson","DDO",2018,2018-04-26,1687.5,2.8
"56227","Andrew Presnell","DDO",2018,2018-04-26,1641.3,10.3
"56352","Joel Freeman","DDO",2018,2018-04-26,1640.8,5.2
"58369","Simon Lizotte","Masters Cup",2018,2018-05-18,1760,-4.8
"58431","Garrett Gurthie","Masters Cup",2018,2018-05-18,1618.6,7.1
"58455","James Conrad","Masters Cup",2018,2018-05-18,1701.5,-5.3
"58466","Nate Sexton","Masters Cup",2018,2018-05-18,1762.7,3.2
"58564","Paul McBeth","Masters Cup",2018,2018-05-18,1810.8,-2.5
"58635","Bradley Williams","Masters Cup",2018,2018-05-18,1687.3,7.3
"58743","Eagle McMahon","Masters Cup",2018,2018-05-18,1753.2,-0.4
"58746","Richard Wysocki","Masters Cup",2018,2018-05-18,1820.4,2.2
"58804","Kevin Jones","Masters Cup",2018,2018-05-18,1651.2,8.1
"58930","Drew Gibson","Masters Cup",2018,2018-05-18,1733.5,2.5
"59874","Simon Lizotte","San Francisco",2018,2018-05-25,1765.4,5.4
"59936","Garrett Gurthie","San Francisco",2018,2018-05-25,1633.6,15
"59960","James Conrad","San Francisco",2018,2018-05-25,1705.8,4.3
"59971","Nate Sexton","San Francisco",2018,2018-05-25,1766.9,4.1
"60069","Paul McBeth","San Francisco",2018,2018-05-25,1816.4,5.6
"60140","Bradley Williams","San Francisco",2018,2018-05-25,1694.3,7
"60248","Eagle McMahon","San Francisco",2018,2018-05-25,1760.4,7.2
"60251","Richard Wysocki","San Francisco",2018,2018-05-25,1823.8,3.4
"60309","Kevin Jones","San Francisco",2018,2018-05-25,1659.1,8
"60435","Drew Gibson","San Francisco",2018,2018-05-25,1740.5,7.1
"62884","Simon Lizotte","Beaver",2018,2018-06-08,1769.2,3.8
"62946","Garrett Gurthie","Beaver",2018,2018-06-08,1653.2,19.5
"62970","James Conrad","Beaver",2018,2018-06-08,1711.7,5.9
"62981","Nate Sexton","Beaver",2018,2018-06-08,1764.3,-2.5
"63079","Paul McBeth","Beaver",2018,2018-06-08,1810.4,-6
"63150","Bradley Williams","Beaver",2018,2018-06-08,1703.7,9.4
"63258","Eagle McMahon","Beaver",2018,2018-06-08,1769.8,9.4
"63261","Richard Wysocki","Beaver",2018,2018-06-08,1823.3,-0.5
"63319","Kevin Jones","Beaver",2018,2018-06-08,1675.6,16.4
"63445","Drew Gibson","Beaver",2018,2018-06-08,1746.3,5.8
"63483","Chris Clemons","Beaver",2018,2018-06-08,1656.7,-3.8
"63877","Joel Freeman","Beaver",2018,2018-06-08,1640.3,-0.5
"65894","Simon Lizotte","Sula",2018,2018-06-22,1756.7,-12.5
"67461","Garrett Gurthie","Utah",2018,2018-06-22,1657.3,4.2
"67485","James Conrad","Utah",2018,2018-06-22,1716.7,5
"67594","Paul McBeth","Utah",2018,2018-06-22,1807.4,-3
"67665","Bradley Williams","Utah",2018,2018-06-22,1695.2,-8.5
"67773","Eagle McMahon","Utah",2018,2018-06-22,1774.4,4.6
"67776","Richard Wysocki","Utah",2018,2018-06-22,1827,3.8
"67834","Kevin Jones","Utah",2018,2018-06-22,1680.7,5.1
"67960","Drew Gibson","Utah",2018,2018-06-22,1746.3,0
"67998","Chris Clemons","Utah",2018,2018-06-22,1659.5,2.8
"68267","Andrew Presnell","Utah",2018,2018-06-22,1649.1,7.8
"68392","Joel Freeman","Utah",2018,2018-06-22,1651.2,10.9
"69281","Richard Wysocki","Skellefteå",2018,2018-07-06,1831.8,4.8
"70453","Nikko Locastro","DGLO",2018,2018-07-06,1731.8,5.7
"70471","Garrett Gurthie","DGLO",2018,2018-07-06,1662.3,5
"70495","James Conrad","DGLO",2018,2018-07-06,1722.5,5.8
"70604","Paul McBeth","DGLO",2018,2018-07-06,1813.6,6.2
"70675","Bradley Williams","DGLO",2018,2018-07-06,1693.5,-1.7
"70844","Kevin Jones","DGLO",2018,2018-07-06,1686.3,5.6
"70904","Corey Ellis","DGLO",2018,2018-07-06,1528.6,20.1
"70970","Drew Gibson","DGLO",2018,2018-07-06,1742,-4.3
"71008","Chris Clemons","DGLO",2018,2018-07-06,1662.6,3.1
"71128","Adam Hammes","DGLO",2018,2018-07-06,1572.7,7.8
"71277","Andrew Presnell","DGLO",2018,2018-07-06,1655.3,6.2
"71515","Andrew Marwede","DGLO",2018,2018-07-06,1541.1,15
"71914","Simon Lizotte","Konopiste",2018,2018-07-12,1765.9,9.2
"72011","Nate Sexton","Konopiste",2018,2018-07-12,1764.7,0.3
"72109","Paul McBeth","Konopiste",2018,2018-07-12,1817.2,3.6
"72288","Eagle McMahon","Konopiste",2018,2018-07-12,1783.1,8.7
"72291","Richard Wysocki","Konopiste",2018,2018-07-12,1827.8,-4.1
"73419","Simon Lizotte","Ale",2018,2018-07-20,1765.6,-0.2
"73796","Richard Wysocki","Ale",2018,2018-07-20,1822.2,-5.6
"74968","Nikko Locastro","Idlewild",2018,2018-07-20,1732.8,1
"74986","Garrett Gurthie","Idlewild",2018,2018-07-20,1667.7,5.3
"75010","James Conrad","Idlewild",2018,2018-07-20,1730.5,8
"75119","Paul McBeth","Idlewild",2018,2018-07-20,1821.9,4.7
"75190","Bradley Williams","Idlewild",2018,2018-07-20,1694.5,1
"75359","Kevin Jones","Idlewild",2018,2018-07-20,1694.2,7.8
"75419","Corey Ellis","Idlewild",2018,2018-07-20,1551.9,23.3
"75444","Calvin Heimburg","Idlewild",2018,2018-07-20,1619,15.3
"75485","Drew Gibson","Idlewild",2018,2018-07-20,1744.1,2.1
"75523","Chris Clemons","Idlewild",2018,2018-07-20,1665.9,3.3
"75643","Adam Hammes","Idlewild",2018,2018-07-20,1586.1,13.4
"75760","Chris Dickerson","Idlewild",2018,2018-07-20,1695.5,8
"77978","Nikko Locastro","Ledgestone",2018,2018-08-09,1737.3,4.5
"77996","Garrett Gurthie","Ledgestone",2018,2018-08-09,1682.2,14.6
"78020","James Conrad","Ledgestone",2018,2018-08-09,1739,8.5
"78027","Matthew Orum","Ledgestone",2018,2018-08-09,1684.3,10.6
"78031","Nate Sexton","Ledgestone",2018,2018-08-09,1774.8,10.1
"78129","Paul McBeth","Ledgestone",2018,2018-08-09,1824.5,2.6
"78311","Richard Wysocki","Ledgestone",2018,2018-08-09,1826.2,4
"78369","Kevin Jones","Ledgestone",2018,2018-08-09,1706.6,12.4
"78429","Corey Ellis","Ledgestone",2018,2018-08-09,1575.5,23.6
"78454","Calvin Heimburg","Ledgestone",2018,2018-08-09,1639.6,20.6
"78495","Drew Gibson","Ledgestone",2018,2018-08-09,1749.4,5.3
"78533","Chris Clemons","Ledgestone",2018,2018-08-09,1674.5,8.6
"78653","Adam Hammes","Ledgestone",2018,2018-08-09,1591.2,5.1
"78770","Chris Dickerson","Ledgestone",2018,2018-08-09,1709.8,14.4
"78802","Andrew Presnell","Ledgestone",2018,2018-08-09,1666.1,10.8
"78927","Joel Freeman","Ledgestone",2018,2018-08-09,1662.4,11.2
"79040","Andrew Marwede","Ledgestone",2018,2018-08-09,1562.9,21.8
"79439","Simon Lizotte","European Disc Golf Championships",2018,2018-08-15,1773.9,8.3
"80944","Simon Lizotte","MVP",2018,2018-08-24,1778.1,4.2
"80988","Nikko Locastro","MVP",2018,2018-08-24,1741.5,4.1
"81006","Garrett Gurthie","MVP",2018,2018-08-24,1683.3,1.1
"81030","James Conrad","MVP",2018,2018-08-24,1747.4,8.4
"81037","Matthew Orum","MVP",2018,2018-08-24,1692,7.6
"81041","Nate Sexton","MVP",2018,2018-08-24,1777.4,2.6
"81139","Paul McBeth","MVP",2018,2018-08-24,1828.8,4.3
"81318","Eagle McMahon","MVP",2018,2018-08-24,1786,2.8
"81321","Richard Wysocki","MVP",2018,2018-08-24,1825.3,-0.9
"81379","Kevin Jones","MVP",2018,2018-08-24,1711.2,4.7
"81464","Calvin Heimburg","MVP",2018,2018-08-24,1654.1,14.5
"81505","Drew Gibson","MVP",2018,2018-08-24,1750.2,0.8
"81543","Chris Clemons","MVP",2018,2018-08-24,1682,7.5
"81780","Chris Dickerson","MVP",2018,2018-08-24,1715.2,5.4
"81812","Andrew Presnell","MVP",2018,2018-08-24,1669,2.9
"81937","Joel Freeman","MVP",2018,2018-08-24,1670.1,7.7
"83954","Simon Lizotte","World",2018,2018-09-05,1784.5,6.3
"83998","Nikko Locastro","World",2018,2018-09-05,1752.5,11
"84016","Garrett Gurthie","World",2018,2018-09-05,1695.6,12.3
"84040","James Conrad","World",2018,2018-09-05,1758.9,11.5
"84047","Matthew Orum","World",2018,2018-09-05,1708.1,16.1
"84051","Nate Sexton","World",2018,2018-09-05,1784.5,7.1
"84149","Paul McBeth","World",2018,2018-09-05,1835.1,6.3
"84220","Bradley Williams","World",2018,2018-09-05,1707.6,13.1
"84328","Eagle McMahon","World",2018,2018-09-05,1793.1,7.1
"84331","Richard Wysocki","World",2018,2018-09-05,1831.2,6
"84389","Kevin Jones","World",2018,2018-09-05,1722.8,11.6
"84474","Calvin Heimburg","World",2018,2018-09-05,1671.9,17.8
"84515","Drew Gibson","World",2018,2018-09-05,1757.2,7
"84553","Chris Clemons","World",2018,2018-09-05,1697,15
"84673","Adam Hammes","World",2018,2018-09-05,1611.9,20.6
"84790","Chris Dickerson","World",2018,2018-09-05,1727.3,12
"84822","Andrew Presnell","World",2018,2018-09-05,1686.4,17.4
"84947","Joel Freeman","World",2018,2018-09-05,1684.4,14.4
"85545","James Conrad","Delaware",2018,2018-09-14,1760.6,1.7
"85654","Paul McBeth","Delaware",2018,2018-09-14,1843.3,8.2
"85833","Eagle McMahon","Delaware",2018,2018-09-14,1799.4,6.3
"85836","Richard Wysocki","Delaware",2018,2018-09-14,1838.3,7
"85894","Kevin Jones","Delaware",2018,2018-09-14,1724.3,1.5
"85979","Calvin Heimburg","Delaware",2018,2018-09-14,1681.9,9.9
"86020","Drew Gibson","Delaware",2018,2018-09-14,1757,-0.2
"86452","Joel Freeman","Delaware",2018,2018-09-14,1691.5,7.1
"86964","Simon Lizotte","USDGC",2018,2018-10-03,1790.1,5.7
"87008","Nikko Locastro","USDGC",2018,2018-10-03,1763.4,10.9
"87026","Garrett Gurthie","USDGC",2018,2018-10-03,1714.9,19.3
"87050","James Conrad","USDGC",2018,2018-10-03,1774.7,14.1
"87057","Matthew Orum","USDGC",2018,2018-10-03,1722.7,14.6
"87061","Nate Sexton","USDGC",2018,2018-10-03,1796.5,12
"87159","Paul McBeth","USDGC",2018,2018-10-03,1852.5,9.2
"87338","Eagle McMahon","USDGC",2018,2018-10-03,1809.7,10.4
"87341","Richard Wysocki","USDGC",2018,2018-10-03,1846.7,8.4
"87399","Kevin Jones","USDGC",2018,2018-10-03,1741.4,17.1
"87484","Calvin Heimburg","USDGC",2018,2018-10-03,1697.6,15.7
"87525","Drew Gibson","USDGC",2018,2018-10-03,1766.4,9.4
"87563","Chris Clemons","USDGC",2018,2018-10-03,1711.2,14.1
"87683","Adam Hammes","USDGC",2018,2018-10-03,1634.4,22.6
"87800","Chris Dickerson","USDGC",2018,2018-10-03,1742.9,15.7
"87832","Andrew Presnell","USDGC",2018,2018-10-03,1700.6,14.2
"87957","Joel Freeman","USDGC",2018,2018-10-03,1709,17.5
"88469","Simon Lizotte","HOFC",2018,2018-10-12,1787.3,-2.8
"88531","Garrett Gurthie","HOFC",2018,2018-10-12,1722.5,7.6
"88555","James Conrad","HOFC",2018,2018-10-12,1782.2,7.5
"88566","Nate Sexton","HOFC",2018,2018-10-12,1796.1,-0.4
"88664","Paul McBeth","HOFC",2018,2018-10-12,1860.5,8
"88843","Eagle McMahon","HOFC",2018,2018-10-12,1817.4,7.7
"88846","Richard Wysocki","HOFC",2018,2018-10-12,1850.1,3.4
"88904","Kevin Jones","HOFC",2018,2018-10-12,1750.4,9
"88989","Calvin Heimburg","HOFC",2018,2018-10-12,1704.1,6.5
"89030","Drew Gibson","HOFC",2018,2018-10-12,1769.5,3.2
"89305","Chris Dickerson","HOFC",2018,2018-10-12,1754.3,11.3
"89462","Joel Freeman","HOFC",2018,2018-10-12,1709.7,0.7
"89896","Alden Harris","HOFC",2018,2018-10-12,1507.2,7.2
"89967","Simon Lizotte","LVC",2019,2019-02-21,1766.9,8.3
"89990","Nikko Locastro","LVC",2019,2019-02-21,1742.4,5.3
"89996","Garrett Gurthie","LVC",2019,2019-02-21,1705.4,5.1
"90009","James Conrad","LVC",2019,2019-02-21,1751.6,-2.4
"90021","Nate Sexton","LVC",2019,2019-02-21,1770.4,3.9
"90084","Paul McBeth","LVC",2019,2019-02-21,1820.8,-3.6
"90202","Eagle McMahon","LVC",2019,2019-02-21,1795.5,9.8
"90206","Richard Wysocki","LVC",2019,2019-02-21,1817.5,2.5
"90257","Kevin Jones","LVC",2019,2019-02-21,1737.1,11.8
"90301","Corey Ellis","LVC",2019,2019-02-21,1583.2,15.3
"90326","Calvin Heimburg","LVC",2019,2019-02-21,1698.1,14.5
"90348","Drew Gibson","LVC",2019,2019-02-21,1750.6,8
"90378","Chris Clemons","LVC",2019,2019-02-21,1698.2,8.1
"90481","Adam Hammes","LVC",2019,2019-02-21,1630.9,10
"90586","Andrew Presnell","LVC",2019,2019-02-21,1694.6,14.1
"90686","Joel Freeman","LVC",2019,2019-02-21,1696.9,8.1
"90787","Andrew Marwede","LVC",2019,2019-02-21,1575.8,19.2
"91220","Simon Lizotte","Memorial",2019,2019-02-28,1775.9,9.1
"91243","Nikko Locastro","Memorial",2019,2019-02-28,1736.6,-5.8
"91249","Garrett Gurthie","Memorial",2019,2019-02-28,1706.3,0.9
"91337","Paul McBeth","Memorial",2019,2019-02-28,1826,5.2
"91455","Eagle McMahon","Memorial",2019,2019-02-28,1804.7,9.2
"91459","Richard Wysocki","Memorial",2019,2019-02-28,1823.2,5.7
"91510","Kevin Jones","Memorial",2019,2019-02-28,1739.7,2.5
"91554","Corey Ellis","Memorial",2019,2019-02-28,1587.6,4.4
"91579","Calvin Heimburg","Memorial",2019,2019-02-28,1705.2,7.1
